"exec","split","cudacores","numthread","time"
"bimage_cuda","0.4","512","20","37.2354652912713"
"bimage_cuda","0.4","512","30","32.2278985100505"
"bimage_cuda","0.4","512","40","32.9435923340261"
"bimage_cuda","0.4","512","50","33.533341083261"
"bimage_cuda","0.4","512","100","24.4023657280161"
"bimage_cuda","0.4","512","300","16.1089047877813"
"bimage_cuda","0.5","1","1","9.79876920926219"
"bimage_cuda","0.5","1","2","15.8864058436555"
"bimage_cuda","0.5","1","3","15.8689185014663"
"bimage_cuda","0.5","1","4","18.0073812255644"
"bimage_cuda","0.5","1","5","19.3827811771228"
"bimage_cuda","0.5","1","6","19.9753304668734"
"bimage_cuda","0.5","1","7","19.4224099002497"
"bimage_cuda","0.5","1","8","19.2678907985866"
"bimage_cuda","0.5","1","9","19.8251684478479"
"bimage_cuda","0.5","1","10","19.2908180850133"
"bimage_cuda","0.5","1","20","19.1826650092844"
"bimage_cuda","0.5","1","30","17.7961275626424"
"bimage_cuda","0.5","1","40","16.8665682970922"
"bimage_cuda","0.5","1","50","14.3308804439134"
"bimage_cuda","0.5","1","100","12.4796867099448"
"bimage_cuda","0.5","1","300","7.82579059723434"
"bimage_cuda","0.5","64","1","19.1112869349509"
"bimage_cuda","0.5","64","2","23.3590282644242"
"bimage_cuda","0.5","64","3","38.9534506265013"
"bimage_cuda","0.5","64","4","40.0455985882592"
"bimage_cuda","0.5","64","5","40.9097231502669"
"bimage_cuda","0.5","64","6","40.2976924869654"
"bimage_cuda","0.5","64","7","45.992589060816"
"bimage_cuda","0.5","64","8","35.5411284900648"
"bimage_cuda","0.5","64","9","48.1626355878531"
"bimage_cuda","0.5","64","10","45.951166164012"
"bimage_cuda","0.5","64","20","44.1720176158006"
"bimage_cuda","0.5","64","30","35.9522554048224"
"bimage_cuda","0.5","64","40","35.2733478698719"
"bimage_cuda","0.5","64","50","29.3844688389952"
"bimage_cuda","0.5","64","100","24.5035779307709"
"bimage_cuda","0.5","64","300","16.3862568463829"
"bimage_cuda","0.5","128","1","18.0676035522113"
"bimage_cuda","0.5","128","2","25.2298332686468"
"bimage_cuda","0.5","128","3","33.6433002731836"
"bimage_cuda","0.5","128","4","36.0394127017306"
"bimage_cuda","0.5","128","5","35.4688329453437"
"bimage_cuda","0.5","128","6","38.4150218101286"
"bimage_cuda","0.5","128","7","39.2670414051318"
"bimage_cuda","0.5","128","8","39.6819360552055"
"bimage_cuda","0.5","128","9","44.0863004025814"
"bimage_cuda","0.5","128","10","42.1555539942387"
"bimage_cuda","0.5","128","20","42.5971783629052"
"bimage_cuda","0.5","128","30","36.7826013391319"
"bimage_cuda","0.5","128","40","29.8640439399633"
"bimage_cuda","0.5","128","50","32.0696981439662"
"bimage_cuda","0.5","128","100","25.2316687721092"
"bimage_cuda","0.5","128","300","16.4237143105845"
"bimage_cuda","0.5","192","1","16.9139009149857"
"bimage_cuda","0.5","192","2","28.4333642783115"
"bimage_cuda","0.5","192","3","41.38107974272"
"bimage_cuda","0.5","192","4","35.5312784805404"
"bimage_cuda","0.5","192","5","39.9304145974948"
"bimage_cuda","0.5","192","6","43.8851846542286"
"bimage_cuda","0.5","192","7","46.5977796158013"
"bimage_cuda","0.5","192","8","42.374766673941"
"bimage_cuda","0.5","192","9","40.5961957304981"
"bimage_cuda","0.5","192","10","49.4275873488443"
"bimage_cuda","0.5","192","20","43.751549534046"
"bimage_cuda","0.5","192","30","33.5774789133432"
"bimage_cuda","0.5","192","40","33.0897924608217"
"bimage_cuda","0.5","192","50","33.170191275908"
"bimage_cuda","0.5","192","100","27.067750579701"
"bimage_cuda","0.5","192","300","16.9724104981148"
